in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
3.18E+02,3.846E+02,-2.621E-01,1.697E+02,4.000E-02
3.19E+02,3.890E+02,-3.332E-01,1.699E+02,4.000E-02
3.20E+02,3.936E+02,-3.868E-01,1.689E+02,4.000E-02
3.21E+02,3.981E+02,-2.289E-01,1.690E+02,4.000E-02
3.22E+02,4.027E+02,-3.870E-01,1.682E+02,4.000E-02
3.23E+02,4.074E+02,-2.578E-01,1.682E+02,4.000E-02
3.24E+02,4.121E+02,-1.535E-01,1.673E+02,4.000E-02
3.25E+02,4.169E+02,-2.145E-01,1.672E+02,4.000E-02
3.26E+02,4.217E+02,-1.730E-01,1.657E+02,4.000E-02
3.27E+02,4.266E+02,-3.719E-01,1.655E+02,4.000E-02
3.28E+02,4.315E+02,-3.385E-01,1.647E+02,4.000E-02
3.29E+02,4.365E+02,-2.109E-01,1.650E+02,4.000E-02
3.30E+02,4.416E+02,-2.639E-01,1.638E+02,4.000E-02
3.31E+02,4.467E+02,-1.993E-01,1.633E+02,4.000E-02
3.32E+02,4.519E+02,-2.511E-01,1.633E+02,4.000E-02
3.33E+02,4.571E+02,-2.478E-01,1.626E+02,4.000E-02
3.34E+02,4.624E+02,-2.351E-01,1.623E+02,4.000E-02
3.35E+02,4.677E+02,-1.161E-01,1.629E+02,4.000E-02
3.36E+02,4.732E+02,-5.871E-02,1.607E+02,4.000E-02
3.37E+02,4.786E+02,-3.285E-01,1.605E+02,4.000E-02
3.38E+02,4.842E+02,-1.031E-01,1.599E+02,4.000E-02
3.39E+02,4.898E+02,-2.022E-01,1.584E+02,4.000E-02
3.40E+02,4.955E+02,-2.430E-01,1.590E+02,4.000E-02
3.41E+02,5.012E+02,-9.466E-03,1.587E+02,4.000E-02
3.42E+02,5.070E+02,-9.099E-02,1.575E+02,4.000E-02
3.43E+02,5.129E+02,-1.299E-01,1.572E+02,4.000E-02
3.44E+02,5.188E+02,-1.348E-01,1.568E+02,4.000E-02
3.45E+02,5.248E+02,-1.833E-01,1.560E+02,4.000E-02
3.46E+02,5.309E+02,3.024E-02,1.556E+02,4.000E-02
3.47E+02,5.370E+02,-1.549E-01,1.560E+02,4.000E-02
3.48E+02,5.433E+02,7.653E-03,1.541E+02,4.000E-02
3.49E+02,5.495E+02,-1.242E-01,1.548E+02,4.000E-02
3.50E+02,5.559E+02,-4.895E-03,1.535E+02,4.000E-02
3.51E+02,5.623E+02,-7.609E-02,1.539E+02,4.000E-02
3.52E+02,5.689E+02,-1.698E-01,1.529E+02,4.000E-02
3.53E+02,5.754E+02,-9.575E-02,1.513E+02,4.000E-02
